Subject,Session,Condition,Color,HueDistance,Index,Subject_response
3,1,2,2,0.0399604119751058,3,3
3,1,1,2,0.0652121216532167,2,2
3,1,1,1,0.0399066502694175,2,2
3,1,1,1,0.0399066502694175,1,1
3,1,2,1,0.0399066502694175,1,1
3,1,1,1,0.052726476747863,1,1
3,1,2,1,0.0399066502694175,2,2
3,1,2,1,0.0651439833764446,1,1
3,1,2,2,0.0652121216532167,1,3
3,1,1,2,0.0134492359163045,2,1
3,1,2,1,0.052726476747863,1,1
3,1,1,1,0.0134244585152067,1,1
3,1,2,1,0.052726476747863,2,2
3,1,2,1,0.0268051775204485,3,3
3,1,1,1,0.052726476747863,3,3
3,1,1,1,0.0134244585152067,2,1
3,1,1,2,0.0652121216532167,1,1
3,1,2,1,0.0399066502694175,3,3
3,1,2,1,0.0134244585152067,1,1
3,1,1,1,0.0651439833764446,3,3
3,1,1,2,0.026870942046131,3,1
3,1,1,1,0.0134244585152067,3,3
3,1,2,1,0.0268051775204485,2,2
3,1,1,2,0.0134492359163045,3,3
3,1,1,2,0.0134492359163045,1,3
3,1,1,1,0.052726476747863,2,2
3,1,2,2,0.026870942046131,3,1
3,1,2,2,0.0134492359163045,3,3
3,1,2,2,0.0134492359163045,2,3
3,1,1,1,0.0268051775204485,3,3
3,1,2,1,0.0651439833764446,3,3
3,1,1,2,0.026870942046131,2,3
3,1,2,2,0.026870942046131,1,1
3,1,1,2,0.0399604119751058,3,3
3,1,2,1,0.0134244585152067,3,3
3,1,1,2,0.052774596771077,2,3
3,1,1,1,0.0268051775204485,2,2
3,1,2,2,0.0399604119751058,1,3
3,1,2,2,0.0652121216532167,2,2
3,1,2,1,0.0651439833764446,2,2
3,1,1,2,0.0652121216532167,3,3
3,1,2,1,0.0268051775204485,1,1
3,1,1,1,0.0651439833764446,1,1
3,1,2,2,0.052774596771077,3,3
3,1,1,2,0.0399604119751058,2,2
3,1,2,2,0.052774596771077,1,2
3,1,2,2,0.0134492359163045,1,3
3,1,2,2,0.0652121216532167,3,3
3,1,2,2,0.052774596771077,2,2
3,1,2,1,0.052726476747863,3,3
3,1,1,2,0.0399604119751058,1,3
3,1,1,2,0.052774596771077,3,3
3,1,2,2,0.0399604119751058,2,2
3,1,2,1,0.0134244585152067,2,1
3,1,1,1,0.0268051775204485,1,2
3,1,2,2,0.026870942046131,2,2
3,1,1,1,0.0651439833764446,2,2
3,1,1,2,0.026870942046131,1,2
3,1,1,1,0.0399066502694175,3,3
3,1,1,2,0.052774596771077,1,1
